Timestamp,Please write a review below for any business:,Please rate the business on a scale of 1 to 5,"Though I got what I was looking for, this store is very disappointing.  The problem  I had was that many aisles were not labeled properly which made it difficult for me to quickly find the things I needed.  I only came in for four items and it should not have taken 40 minutes to find them and check out.  There were also not readily available team members to ask about where these products were located.  Very disappointing.","Ankur explained my dishwasher problem and helped me weigh some options in a 50/50 repair or replace situation. Other notable factors, he was polite, on time, knowledgeable, clear and honest. I have no complaints.We will use this company again, but we hope we don't need to.",This is literally the worst Tropical Smoothie I've ever been to. Smoothies are watery EVERY time. Staff barely comes to the counter or they just chat with each other while you're waiting. If you order online the smoothies aren't kept refrigerated so they're melted before you even get there. Once I gave the cashier a gift card and then a dollar to cover the difference and the cashier puts in my dollar and hands me back my gift card with .48. Makes no sense at all. Horrible customer service at this place!,This is a new Paisanos location and I decided to give it a try. I've been to Paisanos in Centreville and thought it was good but out of the way for me. I ordered the chicken parm sub platter which included fries. You could tell the employees were still learning and trying to figure out how to serve customers and use the cash registers. The sub was good but the fries were not good at all. The fries were fresh and hot but they were soggy and did not have a good flavor. The sub had lots of cheese and the marinara sauce had a good flavor.  One of the employees was friendly the other was not.  You should give this place a try but skip the fries.,Wonderful Doctors Office and he always on time and caring. I am very glad they take my obscure insurance and that they are close to my home.
6/11/19 18:54,"The food was amazing! it's an excellent restaurant. The tacos are the best, I ordered the chicken tacos and they were the best tacos I had in my life. However, the service is questionable, the server was rude",3,4,4,1,4,4
6/11/19 18:57,"The service was horrible, it tool over 30 min to get the server's attention. When the food came, it was cold and we were missing a plate. We talked with the manager at the end of the dinner and he didn't even apologize. ",1,4,3,2,2,5
6/11/19 19:00,best doctor ever !,5,1,5,2,3,5
6/11/19 19:00,hate the place.. never coming back,1,2,2,2,2,5
6/11/19 21:17,"This restaurant was meh. I don't know if I'll go back to be honest. The waiter took forever to take our orders, although the dessert was really delicious.",2,3,3,1,2,4
6/11/19 21:19,Pretty good considering it's a pretty new place. You should order the chicken tenders… they're to die for!,4,2,5,2,3,5
6/11/19 23:58,"I really liked the corned beef hash and drinks, but the place was really loud and cramped which was annoying. Overall though, solid place and I will return.",4,4,4,2,3,4
6/12/19 10:45,Horrendous atmosphere. Tables were sticky and there was hair in my soup! This place needs a health inspection.. It would definitely fail for sure. Hopefully someone from the restaurant reads this and acts on it,1,1,4,1,3,5
6/12/19 10:49,"OK food and ambience.. Nothing special. If you're looking for a quick place with decent food, I'd recommend. Otherwise, go elsewhere",3,3,4,2,3,5
6/12/19 13:32,This was terrible. Never coming back.,1,1,4,1,3,5
