Timestamp,Please write a review below for any business:,Please rate the business on a scale of 1 to 5,"Though I got what I was looking for, this store is very disappointing.  The problem  I had was that many aisles were not labeled properly which made it difficult for me to quickly find the things I needed.  I only came in for four items and it should not have taken 40 minutes to find them and check out.  There were also not readily available team members to ask about where these products were located.  Very disappointing.","Ankur explained my dishwasher problem and helped me weigh some options in a 50/50 repair or replace situation. Other notable factors, he was polite, on time, knowledgeable, clear and honest. I have no complaints.We will use this company again, but we hope we don't need to.",This is literally the worst Tropical Smoothie I've ever been to. Smoothies are watery EVERY time. Staff barely comes to the counter or they just chat with each other while you're waiting. If you order online the smoothies aren't kept refrigerated so they're melted before you even get there. Once I gave the cashier a gift card and then a dollar to cover the difference and the cashier puts in my dollar and hands me back my gift card with .48. Makes no sense at all. Horrible customer service at this place!,This is a new Paisanos location and I decided to give it a try. I've been to Paisanos in Centreville and thought it was good but out of the way for me. I ordered the chicken parm sub platter which included fries. You could tell the employees were still learning and trying to figure out how to serve customers and use the cash registers. The sub was good but the fries were not good at all. The fries were fresh and hot but they were soggy and did not have a good flavor. The sub had lots of cheese and the marinara sauce had a good flavor.  One of the employees was friendly the other was not.  You should give this place a try but skip the fries.,Wonderful Doctors Office and he always on time and caring. I am very glad they take my obscure insurance and that they are close to my home.
2019/06/12 1:32:35 PM AST,This was terrible. Never coming back.,1,1,4,1,3,5
2019/06/12 6:04:00 PM AST,The food was horrible ! ,1,2,3,1,4,4
2019/06/12 6:38:59 PM AST,7/11 doesn't have the energy drinks I need to get mad swole.,2,4,4,3,3,3
2019/06/12 7:14:29 PM AST,Excellent service! Super friendly and helpful staff! ,5,1,5,1,3,5
2019/06/13 1:15:45 AM AST,"Dutch Girl Dry Cleaners provide a broad range of services in addition to traditional dry cleaning.  They provide shoe service, alteration services as well as dry cleaning of suede shoes and very large items.",4,2,2,1,2,5
2019/06/13 9:44:26 AM AST,"I had a wonderful experience at Indochino; the store was elegant and well-organized and the staff were very helpful and charming. Even though they do not generally fit women for bespoke suiting, they were very accommodating and while I have not yet received the finished pieces, I am hopeful about the result!  ",5,3,3,4,5,3
2019/06/13 6:49:41 PM AST,The food was excellent but I was sort of put off by the takeaway packaging. Fries were just sitting in an open boat and the chicken was only covered with parchment paper. Highly recommend the dumplings.,3,4,4,3,4,2
2019/06/13 8:38:09 PM AST,"Cat Supply Plus had everything I needed and more for my cats. The cashier was extremely polite and helpful. The litter she recommended is the best I've ever used, and the cats LOVE it! I'd recommend Cat Supply Plus to everyone!",5,5,5,4,3,3
2019/06/14 11:12:31 AM AST,"I recommend this clinic. I had to wait weeks before I could check my baby into this weight loss clinic. That was the only negative. The facilities were comfortable (in fact, downright posh compared to my house), and the staff was attentive and compassionate. Best of all, the program worked and my cat has curbed his overeating.",5,1,4,1,3,5
2019/06/14 11:56:03 AM AST,The food was incredible. It seemed a little overpriced for the portion sizes though and it was so loud we couldn't hear each other talk so I wouldn't go there for a date but it is a cool place and the drinks were great and reasonably priced.,4,3,5,1,4,5
